seq_id,mean_n_hydrophobic,std_n_hydrophobic,occ_n_hydrophobic_gt0,mean_n_polar,std_n_polar,occ_n_polar_gt0,mean_n_pos_charged,std_n_pos_charged,occ_n_pos_charged_gt0,mean_n_neg_charged,std_n_neg_charged,occ_n_neg_charged_gt0,mean_n_other,std_n_other,occ_n_other_gt0,mean_n_total,std_n_total,occ_n_total_gt0,mean_frac_hydrophobic,std_frac_hydrophobic
bind_019_binder,15.915,1.4862789105682688,1.0,1.7625,0.4741769184597664,1.0,1.988125,0.7610742305287966,1.0,0.868125,0.3383548202331393,0.868125,0.0,0.0,0.0,20.53375,1.674100038080162,1.0,0.7754714767235772,0.0435949253804143
bind_020_binder,13.074375,1.600029174538702,1.0,2.616875,0.7673592603044548,1.0,1.223125,0.4495444743014867,0.99875,0.053125,0.2242827108249764,0.053125,0.0,0.0,0.0,16.9675,1.8765510251522608,1.0,0.7704490758102406,0.0410839580452997
bind_022_binder,13.9075,1.4248486761758248,1.0,3.20875,0.9441522321638603,1.0,3.0,0.2549509756796392,1.0,1.000625,0.0249921862789152,1.0,0.0,0.0,0.0,21.116875,1.734060331815188,1.0,0.65843951674508,0.0384465652562838
bind_034_binder,13.516875,1.347577542991497,1.0,3.425,0.6562202374203343,1.0,1.114375,0.4514347786502497,0.953125,0.000625,0.0249921862789152,0.000625,0.0,0.0,0.0,18.056875,1.5878098860931054,1.0,0.748627458868316,0.036853817653393
bind_041_binder,13.848125,1.5811574824713064,1.0,0.950625,0.9666628726577844,0.605,1.63375,0.5933893641615091,0.9875,0.563125,0.704283490062773,0.438125,0.0,0.0,0.0,16.995625,1.8198505046775133,1.0,0.8154412476315125,0.0489437045950618
bind_043_binder,15.340625,1.1904199298461866,1.0,1.809375,0.5055067846972976,0.969375,3.551875,0.6193213902127069,1.0,0.128125,0.3342289400620479,0.128125,0.0,0.0,0.0,20.83,1.3918872080739877,1.0,0.7365869236466037,0.0327316518695423
bind_069_binder,17.758125,1.043849359043248,1.0,1.06875,0.2579213785245419,1.0,1.48,0.5358171329847525,1.0,0.00375,0.0611223158919882,0.00375,0.0,0.0,0.0,20.310625,1.2197897808126612,1.0,0.874820409539067,0.0276674710103715
bind_076_binder,14.364375,1.5713388747736752,1.0,5.733125,0.5031428568259715,1.0,1.940625,0.7447144482115275,0.941875,0.00375,0.0611223158919882,0.00375,0.0,0.0,0.0,22.041875,1.7432359233262145,1.0,0.6508664273307784,0.0381355205129829
bind_080_binder,15.35625,1.161071030342244,1.0,1.410625,0.6457647477022882,0.9925,2.421875,0.8979958153438132,1.0,0.338125,0.4730713311700467,0.338125,0.0,0.0,0.0,19.526875,1.5958626928326258,1.0,0.7881363914368188,0.04598891464802
bind_083_binder,15.946875,1.6428794034788432,1.0,1.903125,0.8529303807316281,0.999375,2.298125,0.5877894898473432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.148125,1.6881747493594967,1.0,0.7914673086089197,0.0468312239360259
