seq_id,mean_n_hydrophobic,std_n_hydrophobic,occ_n_hydrophobic_gt0,mean_n_polar,std_n_polar,occ_n_polar_gt0,mean_n_pos_charged,std_n_pos_charged,occ_n_pos_charged_gt0,mean_n_neg_charged,std_n_neg_charged,occ_n_neg_charged_gt0,mean_n_other,std_n_other,occ_n_other_gt0,mean_n_total,std_n_total,occ_n_total_gt0,mean_frac_hydrophobic,std_frac_hydrophobic
bind_019_binder,14.588489443221652,2.2064826399239026,1.0,1.441672780630961,0.7861303241113665,0.9129371484470532,1.9811689899730984,0.7621010950849502,0.9971468166625906,0.5602021684193365,0.5036987751334602,0.5565337898426673,0.0,0.0,0.0,18.571533382245047,2.514294009610423,1.0,0.7852798635427829,0.0501579643191559
bind_020_binder,13.961359745659085,1.2078951615940567,1.0,2.8621504850411674,0.861856984837914,0.9988587266650364,0.9943751528491074,0.2724566890188184,0.9618488628026411,0.0486671557838102,0.2151712428084305,0.0486671557838102,0.0,0.0,0.0,17.86655253933317,1.4518310375561996,1.0,0.7822116855912977,0.0435203091403287
bind_022_binder,12.94342545039537,1.8591193820483356,1.0,2.2176571288823674,1.06290512264164,0.9598108747044918,2.524904214559387,0.6108407463625999,0.999429363332518,1.0101899404907475,0.1126708940639681,0.9986956876171844,0.0,0.0,0.0,18.69617673432787,2.624679396180293,1.0,0.6933316184029634,0.0439166350311896
bind_034_binder,13.532322491236652,1.4082040226876604,1.0,3.603081438004402,0.5513054326671568,1.0,0.8112823021113557,0.4618059517260774,0.7817722344501508,8.151952392598027e-05,0.0090284482882275,8.151952392598027e-05,0.0,0.0,0.0,17.946767750876337,1.5355423214700723,1.0,0.7535284426543498,0.0366415008173297
bind_041_binder,14.280753240401076,1.494728266234388,1.0,1.6224830846987854,0.903455643379856,0.9158718513083884,1.272275209912774,0.6930815333072096,0.9189695932175757,0.0954593625173229,0.3567487542177987,0.0749979620119018,0.0,0.0,0.0,17.27097089752996,1.6576496785274426,1.0,0.8276949785718292,0.052188141247516
bind_043_binder,14.119915219695116,1.3478243086496529,1.0,1.2316784869976358,0.4836589284540756,0.9799461971142088,2.467351430667645,0.9105091999413438,0.99959240238037,0.3797179424472161,0.4853166251333956,0.3797179424472161,0.0,0.0,0.0,18.198663079807613,1.900278606323472,1.0,0.777905892908914,0.0468015674236951
bind_069_binder,17.489850819271215,1.221645438664724,1.0,1.0675796853346375,0.264619255766362,0.999836960952148,1.5773212684437925,0.5620690718665791,1.0,0.0409228010108421,0.1993420239483511,0.0406782424390641,0.0,0.0,0.0,20.175674574060487,1.2954517602507791,1.0,0.8670655140228786,0.0310526912142726
bind_076_binder,13.339447297627782,1.6148345643776605,1.0,5.657291921415179,0.9146888437618408,1.0,1.1336104997146816,0.5269312180898675,0.9445667237303336,0.0005706366674818,0.0238811859269088,0.0005706366674818,0.0,0.0,0.0,20.130920355425125,2.0495162818132786,1.0,0.6625731870082144,0.0431181869116203
bind_080_binder,14.126110703513492,1.7028813530953557,1.0,1.1558653297464745,0.6381773724029727,0.8873400179342953,2.217820167930219,0.7920688060403059,0.9974728947582946,0.181462460259232,0.385400876719162,0.181462460259232,0.0,0.0,0.0,17.681258661449416,2.074697854688813,1.0,0.799993931457009,0.0490290999997542
bind_083_binder,15.680035868590528,1.4406873621094192,1.0,0.9644574875682728,0.7831947013431154,0.7268280753240401,1.967066112333904,0.6220516802733218,0.9990217657128884,0.0014673514306676,0.0382779089090112,0.0014673514306676,0.0,0.0,0.0,18.613026819923373,1.7791588567070735,1.0,0.8442022812571168,0.0505780219007346
