feature,n_binder,n_fp,mean_binder,mean_fp,cohens_d,auc,p,q
mean_run_duration_ns,53,122,1.333967924528302,1.0424147540983606,0.2361079037600234,0.6227188369935045,0.010021712227534337,0.10021712227534338
gate_bridge_occupancy,53,122,0.5518679245283019,0.48068114754098357,0.32168589424441213,0.5925610887720384,0.05215078714436832,0.25796834392590545
triple_bridge_occupancy,53,122,0.32465471698113213,0.2772803278688524,0.27137604840579527,0.5775595422208476,0.10375476586309997,0.25796834392590545
mean_n_triple_bridge_waters,53,122,0.367733962264151,0.3127729508196721,0.26395120652365106,0.576322301268172,0.10939281250003076,0.25796834392590545
co_occurrence_occupancy,53,122,0.4348698113207547,0.3836344262295082,0.2443254487909851,0.5723785957315187,0.12898417196295273,0.25796834392590545
n_distinct_waters,53,122,131.9433962264151,110.89344262295081,0.27167281260813547,0.5555985153108568,0.24369060444780755,0.4061510074130126
first_appearance_ns,53,122,5.97877358490566,5.60655737704918,0.020168642398983163,0.5457779152489948,0.3311331664882039,0.4730473806974342
latch_bridge_occupancy,53,122,0.6748641509433962,0.680127868852459,-0.020068930722671536,0.459712341478503,0.39850173394746713,0.49812716743433394
n_runs,53,122,74.90566037735849,78.36065573770492,-0.08875172856508426,0.46759975255180947,0.4973121232579678,0.5525690258421865
median_run_duration_ns,53,122,0.4882075471698113,0.47950819672131145,0.04513849904580793,0.514382926074853,0.6953666083427164,0.6953666083427164
