seq_id,ligand_region,n_frames,window_start_ns,window_end_ns,gate_bridge_occupancy,latch_bridge_occupancy,co_occurrence_occupancy,triple_bridge_occupancy,mean_n_triple_bridge_waters,first_appearance_ns,n_runs,n_distinct_waters,mean_run_duration_ns,median_run_duration_ns,seq_type
bind_019_binder,core,267,0.0,100.0,0.5281,0.1685,0.1498,0.1311,0.1423,0.375,18,10,0.7292,0.375,Binder
bind_020_binder,core,267,0.0,100.0,0.6255,0.4607,0.367,0.191,0.2022,1.875,36,49,0.5312,0.375,Binder
bind_022_binder,core,267,0.0,100.0,0.5281,0.8689,0.4682,0.3596,0.3708,0.0,58,55,0.6207,0.375,Binder
bind_034_binder,core,267,0.0,100.0,0.2921,0.6704,0.2622,0.2285,0.2434,0.0,34,34,0.6728,0.375,Binder
bind_041_binder,core,267,0.0,100.0,0.6404,0.7978,0.5056,0.412,0.4644,4.5,42,80,0.9821,0.5625,Binder
bind_043_binder,core,267,0.0,100.0,0.3596,0.2959,0.0936,0.0225,0.0225,27.375,6,5,0.375,0.375,Binder
bind_069_binder,core,267,0.0,100.0,0.2097,0.1536,0.1124,0.0974,0.1161,1.125,18,28,0.5417,0.375,Binder
bind_076_binder,core,267,0.0,100.0,0.5243,0.2697,0.2397,0.2247,0.2472,1.875,20,15,1.125,0.375,Binder
bind_080_binder,core,267,0.0,100.0,0.0262,0.1236,0.0225,0.0225,0.0225,54.375,4,4,0.5625,0.375,Binder
bind_083_binder,core,267,0.0,100.0,0.3034,0.7528,0.2884,0.2397,0.2584,1.5,35,33,0.6857,0.375,Binder
bind_088_binder,core,267,0.0,100.0,0.1086,0.9064,0.1086,0.0824,0.0861,0.0,14,13,0.5893,0.375,Binder
bind_099_binder,core,267,0.0,100.0,0.2547,0.2921,0.1011,0.0599,0.0637,1.5,12,12,0.5,0.375,Binder
bind_100_binder,core,267,0.0,100.0,0.3258,0.985,0.3221,0.0375,0.0375,0.0,9,10,0.4167,0.375,Binder
bind_101_binder,core,267,0.0,100.0,0.3408,0.7528,0.1873,0.1348,0.1386,2.25,19,13,0.7105,0.375,Binder
bind_102_binder,core,267,0.0,100.0,0.6629,0.6217,0.4532,0.2397,0.2697,0.0,40,46,0.6,0.375,Binder
bind_110_binder,core,267,0.0,100.0,0.1873,0.9513,0.1873,0.1199,0.1386,2.625,18,20,0.6667,0.375,Binder
pair_3061_binder,core,267,0.0,100.0,0.4607,0.3408,0.3109,0.2959,0.2959,8.25,12,8,2.4688,2.25,Binder
pair_3062_binder,core,267,0.0,100.0,0.3258,0.236,0.1236,0.0861,0.0899,10.125,8,17,1.0781,0.375,Binder
pair_3063_binder,core,267,0.0,100.0,0.7978,0.8464,0.6891,0.3596,0.4157,4.5,51,94,0.7059,0.75,Binder
pair_3066_binder,core,267,0.0,100.0,0.7303,0.809,0.6966,0.6292,0.7715,0.375,46,131,1.3696,0.75,Binder
pair_3067_binder,core,267,0.0,100.0,0.5506,0.8914,0.4906,0.2772,0.2959,2.625,56,78,0.4955,0.375,Binder
pair_3068_binder,core,267,0.0,100.0,0.6854,0.7378,0.5169,0.3258,0.3745,0.375,51,88,0.6397,0.375,Binder
pair_3069_binder,core,267,0.0,100.0,0.2172,0.9363,0.2135,0.1873,0.1948,0.375,29,25,0.6466,0.375,Binder
pair_3070_binder,core,267,0.0,100.0,0.5993,0.3184,0.2509,0.1685,0.176,3.75,25,29,0.675,0.375,Binder
pair_3071_binder,core,267,0.0,100.0,0.2772,0.2135,0.1498,0.1348,0.1423,0.375,22,16,0.6136,0.375,Binder
pair_3072_binder,core,267,0.0,100.0,0.6667,0.7491,0.5356,0.3521,0.3708,6.75,52,82,0.6779,0.375,Binder
pair_3073_binder,core,267,0.0,100.0,0.7041,0.7303,0.5356,0.3258,0.3371,0.0,43,82,0.7587,0.375,Binder
pair_3074_binder,core,267,0.0,100.0,0.7228,0.7491,0.5281,0.1273,0.1311,2.25,30,35,0.425,0.375,Binder
pair_3075_binder,core,267,0.0,100.0,0.6142,0.6554,0.5131,0.412,0.4457,0.375,23,55,1.7935,0.375,Binder
pair_3076_binder,core,267,0.0,100.0,0.6292,0.8464,0.5993,0.4607,0.5206,0.75,42,114,1.0982,0.375,Binder
pair_3077_binder,core,267,0.0,100.0,0.6404,0.824,0.5955,0.5281,0.5655,5.25,54,79,0.9792,0.375,Binder
pair_3078_binder,core,267,0.0,100.0,0.1049,0.1498,0.0225,0.015,0.0187,1.125,4,5,0.375,0.375,Binder
pair_3079_binder,core,267,0.0,100.0,0.8315,0.9476,0.7865,0.6142,0.7266,0.375,56,131,1.0982,0.75,Binder
pair_3080_binder,core,267,0.0,100.0,0.5431,0.7978,0.4345,0.2247,0.2472,1.5,34,62,0.6618,0.375,Binder
pair_3085_binder,core,267,0.0,100.0,0.7603,0.9064,0.7266,0.603,0.6517,2.625,42,84,1.4375,0.375,Binder
pair_3086_binder,core,267,0.0,100.0,0.6067,0.2584,0.2547,0.2472,0.2996,0.375,6,5,4.125,0.375,Binder
pair_3087_binder,core,267,0.0,100.0,0.3783,0.9213,0.3483,0.1311,0.1461,5.625,26,34,0.5048,0.375,Binder
pair_3088_binder,core,267,0.0,100.0,0.2172,0.0037,0.0,0.0,0.0,,0,0,,,Binder
pair_3091_binder,core,267,0.0,100.0,0.7341,0.824,0.6854,0.6105,0.7753,3.0,36,113,1.6979,0.75,Binder
pair_3092_binder,core,267,0.0,100.0,0.6217,0.7828,0.5206,0.4045,0.5131,0.0,47,74,0.8617,0.375,Binder
pair_3098_binder,core,267,0.0,100.0,0.588,0.809,0.5281,0.2959,0.3296,3.0,24,56,1.2344,0.75,Binder
pair_3099_binder,core,267,0.0,100.0,0.6629,0.7341,0.5131,0.2622,0.2921,0.375,43,57,0.6105,0.375,Binder
pair_3100_binder,core,267,0.0,100.0,0.8839,0.8839,0.8015,0.4944,0.573,0.0,66,112,0.75,0.375,Binder
pair_3101_binder,core,267,0.0,100.0,0.8127,0.7828,0.7228,0.573,0.6142,0.75,34,83,1.6875,0.375,Binder
pair_3103_binder,core,267,0.0,100.0,0.7603,0.9288,0.7341,0.6629,0.8352,0.375,50,108,1.3275,0.75,Binder
pair_3104_binder,core,267,0.0,100.0,0.4944,0.4045,0.3371,0.3071,0.4195,13.5,13,15,2.3654,1.125,Binder
pair_3108_binder,core,267,0.0,100.0,0.8277,0.97,0.8127,0.7678,0.839,0.375,38,124,2.023,1.125,Binder
