feature,n_binder,n_fp,mean_binder,mean_fp,cohens_d,auc,p,q
first_appearance_ns,52,120,3.6490384615384617,3.571875,0.008843530124029959,0.5461538461538461,0.3313146722229542,0.9948177633932198
gate_bridge_occupancy,53,122,0.5169207547169812,0.488977868852459,0.12189441248490934,0.5376585214970615,0.4300361039672794,0.9948177633932198
mean_run_duration_ns,52,120,0.9856211538461538,1.0085008333333334,-0.017720117404005913,0.5351762820512821,0.4652802103787279,0.9948177633932198
n_distinct_waters,53,122,53.075471698113205,46.622950819672134,0.18870161526437942,0.5336374884008661,0.48096049715002687,0.9948177633932198
n_runs,53,122,31.90566037735849,33.28688524590164,-0.08325732342628651,0.47834828332817814,0.6504554068989535,0.9948177633932198
latch_bridge_occupancy,53,122,0.6649000000000003,0.6781745901639344,-0.047529802161827964,0.47919888648314257,0.6634440061517459,0.9948177633932198
co_occurrence_occupancy,53,122,0.4086679245283019,0.39433360655737704,0.0635618185304349,0.5173987008969996,0.7160766237911579,0.9948177633932198
median_run_duration_ns,52,120,0.5120192307692307,0.64375,-0.0939349193302769,0.49270833333333336,0.8487392025635221,0.9948177633932198
mean_n_triple_bridge_waters,53,122,0.336866037735849,0.33305409836065575,0.017230658848651725,0.4966749149396845,0.9456299543489565,0.9948177633932198
triple_bridge_occupancy,53,122,0.2998433962264151,0.2946844262295082,0.0273001488191209,0.5003866377977111,0.9948177633932199,0.9948177633932198
