Sequence,Group,Q69 RMSF (A),I134 RMSF (A),Y23 RMSF (A),K59 RMSF (A),R79 RMSF (A),I110 RMSF (A),G163 RMSF (A)
bind_019_binder,Binder,3.506,3.124,1.038,0.727,0.718,0.852,0.706
bind_020_binder,Binder,3.658,2.864,2.741,0.791,0.811,1.066,0.996
bind_022_binder,Binder,2.75,2.7,3.577,0.896,0.571,0.69,1.065
bind_034_binder,Binder,3.094,2.756,0.902,0.942,0.848,0.699,1.148
bind_041_binder,Binder,3.443,3.078,1.663,1.521,0.89,0.842,0.914
bind_043_binder,Binder,3.539,2.796,3.686,0.9,0.801,0.705,0.674
bind_069_binder,Binder,5.405,2.824,1.077,0.946,0.584,0.754,1.217
bind_076_binder,Binder,4.035,3.243,1.152,1.037,1.129,0.835,0.714
bind_080_binder,Binder,2.96,2.897,1.046,1.015,0.703,0.788,0.747
bind_083_binder,Binder,4.187,3.076,0.945,0.897,1.411,1.013,1.356
bind_088_binder,Binder,2.584,2.631,1.101,0.798,0.648,1.433,0.988
bind_099_binder,Binder,3.247,2.855,1.184,0.686,0.69,0.763,1.06
bind_100_binder,Binder,3.101,3.835,1.088,2.08,1.231,0.758,1.675
bind_101_binder,Binder,5.515,2.612,1.112,0.785,0.705,1.081,0.784
bind_102_binder,Binder,2.802,3.173,3.374,0.819,1.396,0.814,1.105
bind_110_binder,Binder,3.461,3.214,1.097,1.503,1.668,0.737,1.824
pair_3061_binder,Binder,2.985,3.568,1.0,1.016,0.79,0.694,1.088
pair_3078_binder,Binder,3.178,2.72,3.413,0.889,0.724,0.669,1.198
pair_3080_binder,Binder,5.195,2.799,3.088,0.914,1.547,0.78,1.07
nonb_006_nb,False Positive,2.87,2.688,0.812,0.664,0.576,0.858,0.604
nonb_008_nb,False Positive,2.546,2.642,1.969,0.776,0.699,0.694,1.436
nonb_009_nb,False Positive,4.481,3.023,1.228,0.889,2.634,0.797,1.27
nonb_010_nb,False Positive,2.115,4.324,1.173,0.658,0.538,0.846,1.03
nonb_011_nb,False Positive,3.01,3.553,2.923,0.883,1.4,0.715,1.943
nonb_013_nb,False Positive,3.573,2.681,0.958,0.888,0.749,0.664,0.69
nonb_014_nb,False Positive,2.926,2.883,0.893,0.66,0.507,0.636,0.783
nonb_017_nb,False Positive,3.484,3.874,1.183,1.316,0.783,0.798,1.269
nonb_018_nb,False Positive,2.996,2.71,1.951,0.777,1.139,0.83,0.817
nonb_019_nb,False Positive,3.687,2.518,0.901,1.111,1.493,0.667,0.659
nonb_021_nb,False Positive,3.307,2.736,1.38,0.747,1.413,0.734,0.758
nonb_022_nb,False Positive,2.605,2.604,1.438,1.283,0.745,0.824,1.118
nonb_023_nb,False Positive,3.579,2.584,2.47,0.804,0.806,0.651,0.636
nonb_024_nb,False Positive,2.968,3.358,1.159,0.571,0.553,0.633,1.021
nonb_025_nb,False Positive,4.953,4.073,1.051,0.92,0.762,1.041,0.996
nonb_026_nb,False Positive,2.61,3.051,1.039,0.772,0.536,1.044,1.122
nonb_029_nb,False Positive,4.177,2.889,1.494,0.844,1.459,0.724,0.812
nonb_032_nb,False Positive,4.22,3.124,0.917,0.835,0.662,0.715,0.696
nonb_046_nb,False Positive,5.356,4.12,2.948,0.907,0.845,0.836,1.257
nonb_047_nb,False Positive,3.104,2.902,2.122,0.633,0.59,0.705,0.791
nonb_048_nb,False Positive,4.021,5.401,0.957,2.659,1.044,0.739,1.068
nonb_049_nb,False Positive,4.977,2.671,1.989,0.67,0.652,0.636,0.832
nonb_050_nb,False Positive,4.739,2.446,1.142,1.052,0.644,0.711,0.976
nonb_051_nb,False Positive,3.645,3.028,1.116,1.287,0.697,0.816,1.163
nonb_052_nb,False Positive,3.586,3.395,1.624,1.426,0.794,0.644,0.797
nonb_053_nb,False Positive,3.759,2.863,1.351,0.651,1.457,0.694,1.13
nonb_054_nb,False Positive,4.545,2.502,3.096,1.204,1.656,0.773,0.701
nonb_056_nb,False Positive,3.093,3.219,0.988,1.684,0.627,0.863,1.395
nonb_066_nb,False Positive,4.265,2.862,2.064,1.378,1.437,0.832,1.423
nonb_067_nb,False Positive,2.602,3.303,1.078,0.542,0.454,1.071,0.742
nonb_068_nb,False Positive,3.838,5.183,1.941,0.741,0.719,0.809,0.905
nonb_071_nb,False Positive,5.133,2.843,1.726,1.133,0.837,0.766,1.421
nonb_072_nb,False Positive,2.933,2.906,1.463,0.732,0.552,1.346,0.868
nonb_073_nb,False Positive,4.481,3.69,1.297,3.603,1.112,0.948,1.302
nonb_074_nb,False Positive,4.181,3.167,3.098,1.593,1.024,0.715,0.965
nonb_075_nb,False Positive,4.526,2.455,2.984,1.217,0.755,0.893,1.712
nonb_080_nb,False Positive,3.677,3.157,1.146,0.876,1.183,0.781,0.887
nonb_081_nb,False Positive,4.278,2.771,1.062,0.61,0.564,0.592,1.1
