Sequence,Group,Q69 RMSF (A),I134 RMSF (A),Y23 RMSF (A),K59 RMSF (A),R79 RMSF (A),I110 RMSF (A),G163 RMSF (A)
seq16_binder,Binder,3.314,2.382,1.289,0.582,0.511,0.639,0.617
seq14_binder,Binder,3.342,2.479,2.903,0.685,0.53,0.677,0.642
seq10_binder,Binder,3.414,2.665,1.608,0.798,0.718,0.878,0.981
seq17_binder,Binder,2.536,2.579,1.361,0.695,0.636,0.631,0.484
seq39_binder,Binder,3.794,2.3,2.39,0.707,0.598,0.681,0.986
seq42_binder,Binder,2.915,2.197,3.188,0.85,1.275,0.922,0.957
pair_3069_binder,Binder,2.839,3.675,1.367,1.187,0.647,0.811,1.005
pair_3070_binder,Binder,2.412,2.756,1.382,0.837,0.643,0.615,0.648
pair_3074_binder,Binder,2.879,2.832,2.833,0.778,0.7,0.646,0.774
pair_3092_binder,Binder,2.879,2.832,2.833,0.778,0.7,0.646,0.774
pair_3098_binder,Binder,4.163,2.871,2.555,0.909,1.546,0.818,0.682
pair_3059_nb,False Positive,2.382,2.782,1.136,0.953,0.642,1.211,1.656
pair_3062_binder,Binder,2.907,2.568,1.75,0.73,0.714,0.636,1.144
pair_3063_binder,Binder,2.692,3.247,1.133,1.791,1.246,0.869,1.339
pair_3066_binder,Binder,4.56,3.847,3.391,0.656,1.065,0.885,0.672
pair_3067_binder,Binder,3.456,2.658,2.283,0.656,0.714,0.806,0.814
pair_3068_binder,Binder,2.852,3.455,1.154,0.763,0.774,1.079,0.672
pair_3071_binder,Binder,2.687,3.279,1.09,0.855,0.538,0.64,0.672
pair_3072_binder,Binder,2.953,2.676,1.864,0.83,0.588,0.628,0.636
pair_3073_binder,Binder,3.799,2.849,1.031,0.874,0.875,0.913,0.655
pair_3075_binder,Binder,2.582,2.413,1.242,0.962,0.733,0.685,0.61
pair_3076_binder,Binder,2.633,2.893,2.773,0.693,0.668,0.744,0.995
pair_3077_binder,Binder,3.182,2.618,1.318,0.948,0.753,0.73,0.704
pair_3078_binder,Binder,2.766,2.73,3.843,0.841,0.586,0.619,1.221
pair_3079_binder,Binder,2.584,3.1,3.783,0.591,0.57,0.679,0.528
pair_3080_binder,Binder,3.173,2.466,1.523,0.772,0.853,0.87,1.058
pair_3085_binder,Binder,2.689,3.68,1.369,1.054,0.821,0.789,1.282
pair_3086_binder,Binder,2.837,2.663,0.882,0.804,0.655,0.643,1.104
pair_3087_binder,Binder,3.233,3.283,1.565,0.917,0.741,0.626,0.856
pair_3088_binder,Binder,2.551,3.014,1.354,1.031,0.738,0.833,0.829
pair_3091_binder,Binder,3.148,2.889,1.042,0.611,0.663,0.731,0.604
pair_3099_binder,Binder,5.292,2.823,1.305,1.026,0.973,0.752,1.218
pair_3100_binder,Binder,2.863,2.525,2.661,0.662,0.494,0.699,0.694
pair_3101_binder,Binder,2.765,2.679,2.321,0.824,0.584,0.737,1.193
pair_3103_binder,Binder,4.836,2.954,3.081,0.791,0.659,0.833,1.107
pair_3104_binder,Binder,3.205,2.675,2.785,0.903,0.648,0.612,0.806
pair_3108_binder,Binder,4.559,3.753,1.448,0.994,0.66,0.821,0.951
seq1_nb,False Positive,3.253,3.377,1.084,1.619,1.941,0.698,1.08
seq2_nb,False Positive,2.907,3.591,1.008,0.896,1.034,0.814,0.655
seq3_nb,False Positive,3.907,4.646,0.778,1.164,0.878,0.902,0.819
seq4_nb,False Positive,4.633,3.289,1.172,1.051,0.618,0.859,0.823
seq5_nb,False Positive,5.655,3.17,0.889,1.223,0.92,0.879,0.88
seq6_nb,False Positive,2.467,2.77,1.916,0.906,0.781,0.691,1.008
seq7_nb,False Positive,2.66,2.775,2.102,1.021,0.567,0.767,0.669
pair_0052_nb,False Positive,3.186,2.601,0.909,0.511,0.639,0.708,1.129
pair_0091_nb,False Positive,2.58,2.472,0.877,0.617,1.036,0.861,1.062
pair_0246_nb,False Positive,3.667,4.846,1.59,1.296,1.669,0.948,1.801
pair_0269_nb,False Positive,4.268,2.189,1.166,0.838,0.677,0.603,0.879
pair_0272_nb,False Positive,3.018,3.334,1.039,0.835,1.244,0.732,1.018
pair_0276_nb,False Positive,2.823,3.808,1.453,0.872,1.08,0.923,1.282
pair_0288_nb,False Positive,2.551,3.658,1.959,0.747,0.945,0.969,1.256
pair_0351_nb,False Positive,3.339,2.701,1.217,1.139,1.873,0.788,1.66
pair_0502_nb,False Positive,4.297,3.445,1.585,1.245,2.25,0.691,0.83
pair_0506_nb,False Positive,2.159,2.679,1.66,1.408,0.519,0.81,1.018
pair_0647_nb,False Positive,2.701,2.688,1.348,0.755,0.559,0.607,1.163
pair_0777_nb,False Positive,2.385,2.553,0.748,0.637,0.584,0.661,0.839
pair_0827_nb,False Positive,2.403,2.926,1.24,0.672,0.544,0.612,1.354
pair_1824_nb,False Positive,3.004,2.854,0.824,0.731,0.748,0.812,0.76
pair_1939_nb,False Positive,4.359,2.84,1.159,1.019,1.81,0.922,1.425
pair_0822_nb,False Positive,2.5,2.725,3.791,0.699,0.471,0.816,0.969
pair_0865_nb,False Positive,3.585,2.368,1.67,0.637,0.732,0.932,0.689
pair_0867_nb,False Positive,4.557,3.971,1.044,1.962,1.893,0.833,1.115
pair_1860_nb,False Positive,2.823,2.935,0.975,1.223,0.607,0.85,1.152
pair_1965_nb,False Positive,3.053,2.45,1.293,0.785,1.151,0.721,1.103
pair_0341_nb,False Positive,4.211,4.027,1.347,1.096,1.13,1.129,0.973
pair_0450_nb,False Positive,3.201,2.646,1.057,2.228,0.644,0.772,1.193
pair_0549_nb,False Positive,4.369,4.379,1.293,0.706,1.556,0.887,1.749
pair_0567_nb,False Positive,3.499,3.04,1.372,1.459,2.443,0.858,1.54
pair_0584_nb,False Positive,2.994,2.786,1.217,0.756,0.488,0.818,1.301
pair_0602_nb,False Positive,2.873,2.71,1.1,0.859,0.678,0.663,1.365
pair_0684_nb,False Positive,2.338,2.65,1.187,0.846,0.623,0.872,1.216
pair_0736_nb,False Positive,3.533,3.025,1.301,1.254,0.909,1.017,1.023
pair_0748_nb,False Positive,2.167,2.821,0.894,0.593,0.581,0.78,0.904
pair_0765_nb,False Positive,2.425,2.324,1.282,0.9,0.499,0.56,1.175
pair_0776_nb,False Positive,4.263,3.728,1.15,0.674,0.909,0.731,1.019
pair_0782_nb,False Positive,2.522,2.489,1.527,0.696,0.538,1.062,1.199
pair_0811_nb,False Positive,2.903,3.241,1.054,0.978,1.2,1.08,1.374
pair_0868_nb,False Positive,2.641,2.746,0.925,0.664,0.868,0.733,0.666
pair_0876_nb,False Positive,5.002,2.736,0.932,0.641,1.105,0.812,0.793
pair_0878_nb,False Positive,2.838,2.657,0.832,0.859,0.601,1.031,1.538
pair_0883_nb,False Positive,4.071,2.599,3.263,0.959,0.818,0.785,1.119
pair_0891_nb,False Positive,2.462,2.954,0.938,1.047,0.824,1.262,1.393
pair_0908_nb,False Positive,3.327,2.804,1.7,0.742,0.536,0.984,1.077
pair_0932_nb,False Positive,2.744,2.719,1.708,0.661,0.758,0.7,0.641
pair_0940_nb,False Positive,2.12,2.689,0.973,0.95,0.653,0.673,1.036
pair_0974_nb,False Positive,3.577,2.846,0.921,0.65,1.211,0.872,0.775
pair_0977_nb,False Positive,3.655,4.03,0.965,0.947,0.684,0.981,0.81
pair_1011_nb,False Positive,2.582,2.76,3.699,1.071,0.645,0.982,1.173
pair_1023_nb,False Positive,2.25,3.434,1.14,1.029,0.497,0.916,1.184
pair_1102_nb,False Positive,3.76,3.378,0.941,1.469,1.627,0.714,1.725
pair_1313_nb,False Positive,2.661,3.093,1.065,1.018,0.733,0.799,1.231
pair_1397_nb,False Positive,3.52,2.333,2.601,0.824,1.372,0.984,0.799
pair_1654_nb,False Positive,2.562,2.904,2.913,0.678,0.561,0.734,1.166
pair_1656_nb,False Positive,2.831,2.594,3.04,0.672,0.522,0.658,1.014
pair_1658_nb,False Positive,2.868,3.317,1.51,0.835,0.598,0.833,1.283
pair_1671_nb,False Positive,2.611,3.795,1.932,1.34,0.571,0.822,1.128
pair_1679_nb,False Positive,3.042,2.824,0.936,1.468,1.265,0.862,1.205
pair_1709_nb,False Positive,2.774,2.796,0.782,0.792,2.446,1.219,0.903
pair_1710_nb,False Positive,3.286,2.134,1.087,1.101,0.641,0.803,1.212
pair_1737_nb,False Positive,2.413,2.731,1.542,0.974,0.697,0.689,0.754
pair_1758_nb,False Positive,2.428,2.765,1.039,0.896,0.526,0.722,1.357
pair_1784_nb,False Positive,3.249,2.477,1.243,0.85,1.802,0.918,0.797
pair_1785_nb,False Positive,2.078,2.885,1.675,0.863,0.752,0.765,1.01
pair_1792_nb,False Positive,2.66,3.66,0.82,1.778,0.695,0.783,1.123
pair_1835_nb,False Positive,3.376,1.849,1.193,0.639,1.427,0.813,0.764
pair_1847_nb,False Positive,2.629,2.709,1.249,1.43,1.028,1.323,1.547
pair_1914_nb,False Positive,2.425,4.215,1.776,0.836,0.717,0.78,1.056
pair_1922_nb,False Positive,3.071,3.224,0.94,0.789,0.723,0.63,0.819
