seq_id,seq_type,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,R_16,R_17,R_18,R_19,R_20,R_21,R_22,R_23,R_24,R_25,R_26,R_27,R_28,R_29,R_30,R_31,R_32,R_33,R_34,R_35,R_36,R_37,R_38,R_39,R_40,R_41,R_42,R_43,R_44,R_45,R_46,R_47,R_48,R_49,R_50,R_51,R_52,R_53,R_54,R_55,R_56,R_57,R_58,R_59,R_60,R_61,R_62,R_63,R_64,R_65,R_66,R_67,R_68,R_69,R_70,R_71,R_72,R_73,R_74,R_75,R_76,R_77,R_78,R_79,R_80,R_81,R_82,R_83,R_84,R_85,R_86,R_87,R_88,R_89,R_90,R_91,R_92,R_93,R_94,R_95,R_96,R_97,R_98,R_99,R_100,R_101,R_102,R_103,R_104,R_105,R_106,R_107,R_108,R_109,R_110,R_111,R_112,R_113,R_114,R_115,R_116,R_117,R_118,R_119,R_120,R_121,R_122,R_123,R_124,R_125,R_126,R_127,R_128,R_129,R_130,R_131,R_132,R_133,R_134,R_135,R_136,R_137,R_138,R_139,R_140,R_141,R_142,R_143,R_144,R_145,R_146,R_147,R_148,R_149,R_150,R_151,R_152,R_153,R_154,R_155,R_156,R_157,R_158,R_159,R_160,R_161,R_162,R_163,R_164,R_165,R_166,R_167,R_168,R_169,R_170,R_171,R_172,R_173,R_174,R_175,R_176,R_177,R_178,R_179,R_180,R_181
seq16_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002,,,-0.0003,,,0.0002,,,0.8105,0.2889,,,0.0,,,,,,,,,,,,,,,,,0.7118,,0.0006,,0.0,,,,-0.0,0.0038,0.1245,,,0.0063,,0.001,,-0.0,,,,,,,,,,-0.0019,-0.0,0.2081,,,,,,,-0.001,-0.0002,-0.001,,,-0.0025,,0.5766,-0.0004,0.0376,,,,,,,,,,,,,,,,,0.7924,,,,,,,,,,,,,,,,,,,,,,,,,,0.0088,,,,,,,,,,,,,,
seq14_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5625,-0.0329,-0.2053,-0.192,,-0.0,0.2484,,,-0.1043,0.0558,,,,,,,,,,,,,,,,,,,,0.4344,,,,,,,,,0.1202,0.3372,,,-0.097,,0.3525,,-0.0207,,,,,,,,,,-0.3235,-0.1969,-0.1922,,,,,,,-0.1314,,-0.0535,,,-0.01,,-0.0673,-0.0002,-0.1225,,,,,,,,,,,,,,,,,-0.0264,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002,,,,,,,,,,,,,,
seq10_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0977,-0.0004,-0.04,-0.1677,,,0.0478,,,0.0,0.0823,,,,,,,,,,,,,,,,,,,,0.2948,,,,,,,,,0.0139,0.1314,,,0.0022,,0.0352,,-0.0047,,,,,,,,,,-0.165,-0.0756,0.0805,,-0.0014,,,,,-0.0141,-0.0014,-0.0032,,,-0.0014,,-0.0055,-0.0066,-0.2911,,,,,,,,,,,,,,,,,-0.2742,,,,,,,,,,,,,,,,,,,,,,,,,,0.0101,,,,,,,,,,,,,,
seq17_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1969,,,0.3164,,,0.7332,0.0564,,,0.0006,,,,,,,,,,,,,,,,,0.8907,,,,0.0006,,,,,0.0001,0.0003,,,0.0056,,0.0039,,,,,,,,,,,,,,0.3094,,0.0038,,,,,0.6198,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,0.0088,,,,,,,,,,,,,,
seq39_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032,0.3752,,,0.591,,,0.9025,0.4144,,,,,,,,,,,,,,,,,,,,0.9506,,,,,,,,,0.0045,0.0632,,,-0.0273,,0.1139,,,,,,,,,,,,,,0.25,,-0.0004,,,,,-0.0317,-0.0002,-0.0066,,,-0.0102,,0.0002,,,,,,,,,,,,,,,,,,,0.0066,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014,,,,,,,,,,,,,,
seq42_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1406,-0.0,-0.001,-0.0077,,,-0.0009,,,-0.2869,0.082,,,,,,,,,,,,,,,,,,,,,,-0.0002,,,,,,,-0.0004,0.0477,,,,,-0.0002,,-0.0,,,,,,,,,,-0.0791,-0.0113,-0.0,,-0.0207,,,,-0.0004,-0.0604,-0.0003,-0.1914,-0.0,-0.0,-0.1477,,0.1255,-0.0032,-0.3575,,,,,,,,,,,,,,,-0.0225,,0.6294,,,,-0.0,,,,,,,,,,,,,,,,,,,0.1969,,,0.2481,-0.026,,,-0.0329,,,,,,,,,,
pair_3069_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3906,-0.001,-0.0183,0.4675,,,0.0945,,,0.0432,0.0791,,,0.0006,,,,,,,,,,,,,,,,,0.9628,,,,,,,,,,,,,,,0.0425,,-0.001,,,,,,,,,,-0.1914,-0.0,0.1826,,,,,,,,,,,,-0.6679,,-0.5625,,-0.0352,,,,,,,,,,,,,,,,,-0.6754,,,,,,,,,,,,,,,,,,,,,,-0.6934,-0.2691,,,0.0008,,,,,,,,,,,,,,
pair_3070_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5166,-0.001,-0.0863,-0.186,,,-0.1501,,,-0.5414,-0.0,,,,,,,,,,,,,,,,,,,,-0.4258,,0.0,,,,,,,,,,,,,0.0066,,-0.0039,,,,,,,,,,0.2442,0.1425,0.7488,,0.0032,,,,,,,,,,0.0047,,0.9506,0.6601,0.8288,,,,,,,,,,,,,,,,,0.9134,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0025,,,,,,,,,,,,,,
pair_3074_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,0.7838,0.6747,0.0,0.1754,0.0,,,,,,,,,,,,,,,,,-0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,-0.0077,,,,,,,,,,,,0.0902,,-0.0021,-0.0,-0.0019,,,,,,,,,,,,,,,,,0.5336,-0.0,-0.1502,,,,,,,,,,,,,,,,,-0.0056,,,0.0863,0.2679,,,0.3752,0.0004,,,,,,,,,,,,,
pair_3092_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0172,,-0.0127,-0.1116,,,-0.1199,,,-0.6442,0.0406,,0.0,-0.0162,,,,,,,,,,,,,,,,,-0.3444,,-0.1156,,-0.0003,,,,,,,,,-0.0733,,-0.1635,,-0.0002,,,,,,,,,,-0.0938,-0.09,-0.5433,-0.0002,-0.1285,,,,,,,-0.0,,,0.1935,-0.0,-0.3716,-0.0827,-0.3025,,,,,,,,,,,,,,,,,-0.327,-0.0004,-0.0004,,,,,,,,,,,,,,,,,,,,-0.0126,0.0562,,,0.3,,,,,,,,,,,,,,
