seq_id,seq_type,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,R_16,R_17,R_18,R_19,R_20,R_21,R_22,R_23,R_24,R_25,R_26,R_27,R_28,R_29,R_30,R_31,R_32,R_33,R_34,R_35,R_36,R_37,R_38,R_39,R_40,R_41,R_42,R_43,R_44,R_45,R_46,R_47,R_48,R_49,R_50,R_51,R_52,R_53,R_54,R_55,R_56,R_57,R_58,R_59,R_60,R_61,R_62,R_63,R_64,R_65,R_66,R_67,R_68,R_69,R_70,R_71,R_72,R_73,R_74,R_75,R_76,R_77,R_78,R_79,R_80,R_81,R_82,R_83,R_84,R_85,R_86,R_87,R_88,R_89,R_90,R_91,R_92,R_93,R_94,R_95,R_96,R_97,R_98,R_99,R_100,R_101,R_102,R_103,R_104,R_105,R_106,R_107,R_108,R_109,R_110,R_111,R_112,R_113,R_114,R_115,R_116,R_117,R_118,R_119,R_120,R_121,R_122,R_123,R_124,R_125,R_126,R_127,R_128,R_129,R_130,R_131,R_132,R_133,R_134,R_135,R_136,R_137,R_138,R_139,R_140,R_141,R_142,R_143,R_144,R_145,R_146,R_147,R_148,R_149,R_150,R_151,R_152,R_153,R_154,R_155,R_156,R_157,R_158,R_159,R_160,R_161,R_162,R_163,R_164,R_165,R_166,R_167,R_168,R_169,R_170,R_171,R_172,R_173,R_174,R_175,R_176,R_177,R_178,R_179,R_180,R_181
seq16_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0452,,0.72,0.01,,,,,,,,,,,,,,,,,0.0285,,0.2082,,0.5166,,,,0.109,-0.0084,0.0545,,,0.5365,,0.1314,,,,,,,,,,,,,,0.186,0.0002,0.1833,,,,-0.0004,0.1023,-0.2081,-0.2615,,,0.2092,,0.3829,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,-0.0004,,,0.1207,0.3059,,-0.0127,0.1634,0.0,,-0.0,0.591,,,,,,,,,,,,,,
seq14_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0244,0.0514,,0.3354,0.0039,,,,,,,,,,,,,,,,,0.001,,0.01,,0.2407,,,,0.0221,0.3495,0.1009,,-0.0,0.0084,,0.0004,,,,,,,,,,,,,,,,0.0006,,,,,-0.2051,0.0812,0.2118,,,0.0485,,0.1188,-0.0002,-0.0564,,,,,,,,,,,,,,,,,-0.2376,-0.0002,-0.0025,,,,,,,,,,,,,,,,0.5365,0.1303,-0.136,0.1416,-0.0077,-0.2367,,,-0.082,,,,,,,,,,,,,,
seq10_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1269,,0.4781,0.0056,,,,,,,,,,,,,,,,,0.0014,,0.0264,,0.3906,,,,0.0479,-0.1201,0.168,,,0.3741,,0.01,,,,,,,,,,,,,,0.0039,0.0,0.0057,,,,,-0.3125,-0.6043,-0.0586,,,0.4054,,0.4347,,,,,,,,,,,,,,,,,,,0.0046,,,,,,,,,,,,,,,-0.0,,-0.0,0.2148,-0.0007,,-0.0188,0.3897,0.0002,,,0.0329,,,,,,,,,,,,,,
seq17_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019,,0.4982,0.1097,,,,,,,,,,,,,,,,,,,0.0004,,0.4064,,,,0.0023,0.0424,0.0022,,,0.6055,,,,,,,,,,,,,,,,0.0039,,0.3294,-0.0,-0.0,,,0.2011,-0.0,-0.1722,-0.5814,-0.3525,0.2301,,0.0004,,,,,,,,,,,,,,,,,,,0.5032,,-0.0004,,-0.0375,,,,,,,,,,,,,,0.3015,0.5671,,-0.001,0.233,,,,0.1139,,,,,,,,,,,,,,
seq39_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,0.6475,0.0156,,,,,,,,,,,,,,,,,0.1806,,0.2139,,0.3379,,,,0.0064,-0.0837,0.0,,,0.1299,,0.0019,,,,,,,,,,,,,,0.0,,-0.015,,,,,-0.4,-0.136,-0.1687,-0.0077,-0.0014,0.5073,,0.0625,,,,,,,,,,,,,,,,,,,0.0032,,,,-0.0006,,,,,,,,,,,,,,-0.0292,0.1024,,0.0,0.1994,0.0002,,,0.3752,,,,,,,,,,,,,,
seq42_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,-0.0047,0.0744,,0.4556,0.0025,,,,,,,,,,,,,,,,,,,0.0052,,0.2756,,,,0.0328,-0.1666,0.0619,,,0.0625,,-0.0002,,,,,,,,,,,,,,,,-0.043,,,,-0.0025,0.0097,0.0394,-0.1597,-0.0006,-0.0006,-0.1328,,0.3504,,,,,,,,,,,,,,,,,,,0.0352,,0.0,,0.0003,,,,,,,,,,,,,,-0.1096,0.0001,,,0.5958,0.3945,,,0.0189,,,,,,,,,,,,,,
pair_3069_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7547,0.3903,0.4813,,,,,,,,,,,,,,,,,,,0.0,,0.1371,,,,0.0731,,-0.0014,,-0.0025,0.2584,,,,,,,,,,,,,,,,,,-0.4334,,-0.1139,-0.3906,-0.0452,0.0057,,0.0804,-0.6055,-0.4389,0.1605,,-0.0039,,,,,,,,,,,,,,,,,,,-0.0066,,-0.0025,,-0.0006,,,,,,,,,,,,,,0.348,0.3403,,,0.3555,-0.0039,,,0.1701,,,,,,,,,,,,,,
pair_3070_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,-0.0002,-0.0006,,,-0.0156,,,-0.1053,-0.0739,-0.1702,0.1843,0.0945,,,,,,,,,,,,,,,,,0.5381,,0.0981,,0.437,-0.0006,,,0.053,0.0633,0.1041,,,0.1044,,-0.0054,,,,,,,,,,,,,,,,0.0,,,,,-0.0066,-0.0056,0.0986,,,0.7897,,0.0127,,-0.0006,,,,,,,,,,,,,,,,,0.3162,,,,,,,,,,,,,,,,,,-0.0688,0.0703,,-0.0,0.4448,0.2405,,-0.0225,0.5391,,,,,,,,,,,,,,
pair_3074_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,0.0705,0.0031,,,,,,,,,,,,,,,,,-0.0,,-0.0,,0.4556,,,,0.0105,0.0711,0.0244,,,0.5302,,-0.0,,,,,,,,,,,,,,,,0.067,,,,,0.2479,-0.2691,-0.0744,-0.001,-0.001,0.765,,-0.0,,,,,,,,,,,,,,,,,,,-0.001,,-0.0113,,,,,,,,-0.0,,,,,-0.0006,,,-0.0234,0.022,,,0.0656,-0.0113,,,,,,,,,,,,,,,,,
pair_3092_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0188,,0.7625,0.0137,,,,,,,,,,,,,,,,,-0.0375,,-0.0863,,0.2816,-0.0,,,0.1006,0.0167,0.1689,,,0.0127,,-0.0306,,,,,,,,,,,,,,,,-0.0056,,,,-0.0008,-0.0791,-0.2382,0.1191,,,0.1223,,-0.0047,,,,,,,,,,,,,,,,,,,-0.0127,-0.0,-0.0039,,,,,-0.0006,-0.0,,-0.0,,,,,-0.0004,,-0.0006,0.2379,0.1186,-0.0,-0.0742,0.0779,-0.0656,,-0.0025,0.0084,,,,,,,,,,,,,,
