seq_id,seq_type,max_saltbridge_occupancy_pct,n_saltbridges_gt50pct,mean_top3_occupancy_pct
seq16_binder,Binder,75.21,2,48.61
seq14_binder,Binder,92.48,1,30.83
seq10_binder,Binder,54.12,2,35.66
seq17_binder,Binder,94.96,1,31.65
seq39_binder,Binder,50.64,1,32.07
seq42_binder,Binder,0.0,0,0.0
pair_3069_binder,Binder,46.05,0,18.23
pair_3070_binder,Binder,80.77,1,30.45
pair_3092_binder,Binder,29.23,0,14.99
pair_3098_binder,Binder,56.12,1,24.05
pair_3059_nb,False Positive,81.0,1,35.35
pair_3062_binder,Binder,70.16,1,31.36
pair_3063_binder,Binder,55.61,1,19.35
pair_3066_binder,Binder,69.02,1,23.01
pair_3067_binder,Binder,9.27,0,3.09
pair_3068_binder,Binder,91.07,1,31.63
pair_3071_binder,Binder,62.84,1,32.04
pair_3072_binder,Binder,12.98,0,5.01
pair_3073_binder,Binder,93.61,1,31.2
pair_3075_binder,Binder,54.7,1,28.82
pair_3076_binder,Binder,58.0,1,22.33
pair_3077_binder,Binder,62.66,1,29.42
pair_3078_binder,Binder,92.73,1,30.91
pair_3079_binder,Binder,97.96,1,33.77
pair_3080_binder,Binder,93.0,1,31.0
pair_3085_binder,Binder,73.46,1,30.81
pair_3086_binder,Binder,88.48,1,30.73
pair_3087_binder,Binder,67.86,1,29.95
pair_3088_binder,Binder,50.23,1,30.05
pair_3091_binder,Binder,73.14,1,25.29
pair_3099_binder,Binder,96.12,1,32.04
pair_3100_binder,Binder,89.29,1,29.76
pair_3101_binder,Binder,23.27,0,10.89
pair_3103_binder,Binder,82.77,1,34.39
pair_3104_binder,Binder,79.61,1,34.83
pair_3108_binder,Binder,53.82,1,31.78
seq1_nb,False Positive,76.07,1,25.36
seq2_nb,False Positive,0.0,0,0.0
seq3_nb,False Positive,33.05,0,11.02
seq4_nb,False Positive,76.29,1,31.37
seq5_nb,False Positive,69.27,1,24.48
seq6_nb,False Positive,0.0,0,0.0
seq7_nb,False Positive,95.57,1,31.86
pair_0052_nb,False Positive,91.29,1,30.43
pair_0091_nb,False Positive,3.91,0,1.3
pair_0246_nb,False Positive,58.14,1,19.38
pair_0269_nb,False Positive,62.62,1,24.63
pair_0272_nb,False Positive,93.29,1,31.1
pair_0276_nb,False Positive,91.05,1,30.35
pair_0288_nb,False Positive,92.54,1,30.85
pair_0351_nb,False Positive,97.7,1,32.57
pair_0502_nb,False Positive,95.7,1,32.35
pair_0506_nb,False Positive,67.18,1,28.36
pair_0647_nb,False Positive,91.68,1,32.24
pair_0777_nb,False Positive,0.0,0,0.0
pair_0827_nb,False Positive,96.84,1,32.28
pair_1824_nb,False Positive,69.93,1,23.31
pair_1939_nb,False Positive,8.61,0,2.87
pair_0822_nb,False Positive,0.0,0,0.0
pair_0865_nb,False Positive,0.0,0,0.0
pair_0867_nb,False Positive,70.71,1,23.57
pair_1860_nb,False Positive,34.21,0,11.4
pair_1965_nb,False Positive,87.48,1,29.16
pair_0341_nb,False Positive,90.8,1,30.27
pair_0450_nb,False Positive,69.52,1,24.39
pair_0549_nb,False Positive,95.95,1,31.98
pair_0567_nb,False Positive,64.61,1,27.2
pair_0584_nb,False Positive,41.46,0,17.2
pair_0602_nb,False Positive,94.29,1,31.43
pair_0684_nb,False Positive,51.86,1,17.29
pair_0736_nb,False Positive,97.55,1,32.52
pair_0748_nb,False Positive,92.21,1,30.74
pair_0765_nb,False Positive,96.0,1,32.0
pair_0776_nb,False Positive,0.0,0,0.0
pair_0782_nb,False Positive,2.8,0,0.93
pair_0811_nb,False Positive,91.64,1,30.55
pair_0868_nb,False Positive,54.41,1,18.14
pair_0876_nb,False Positive,0.0,0,0.0
pair_0878_nb,False Positive,91.77,1,30.59
pair_0883_nb,False Positive,29.98,0,9.99
